Month,Weekday,Time,Bermuda,Lot 7,Lot 13,E. Troy,Lot 10,Lot 3,W. Nine Mile,Lot 8,NB Woodward,Vester,Lot 11,Lot 1,Lot 15,Lot 2,Lot 4,E. Nine Mile,Lot 9,SB Woodward,W. Troy,Withington,W. Saratoga,E. Breckenridge,Planavon,E. Saratoga,Ardmoor,24_Time,dayNum
1,Monday,12am,0.0,0.034482758620689655,0.051759834368530024,0.029100529100529102,0.0469187675070028,0.05217342531830164,0.009852216748768473,0.07936507936507937,0.0,0.08163265306122448,0.019345238095238096,0.00974025974025974,0.07187780772686432,0.016290726817042606,0.07976190476190477,0.001763668430335097,0.01724537037037037,0.0,0.05714285714285714,0.021768707482993196,0.0,0.0,0.010582010582010581,0.0,0.0,0,0
1,Tuesday,12am,0.0,0.001567398119122257,0.003952569169960474,0.0,0.0006684491978609626,0.0017667844522968198,0.0,0.004662004662004662,0.0,0.006493506493506494,0.0006944444444444445,0.0,0.0008576329331046312,0.0,0.0022727272727272726,0.0,0.0,0.0,0.0,0.0012987012987012987,0.0,0.0,0.0,0.0,0.0,0,1
1,Wednesday,12am,0.0,0.003134796238244514,0.008893280632411068,0.0,0.0076983065953654195,0.0008030838419530999,0.0005224660397074191,0.0011655011655011655,0.0,0.016233766233766232,0.0,0.0,0.0017152658662092624,0.0011961722488038277,0.0011363636363636363,0.0,0.0011205808080808081,0.0,0.0,0.0022943722943722946,0.0,0.0,0.0,0.0,0.0,0,2
1,Thursday,12am,0.0,0.003134796238244514,0.004940711462450593,0.0025252525252525255,0.0066844919786096255,0.004119820109219402,0.0013061650992685476,0.005827505827505827,0.0,0.016233766233766232,0.000946969696969697,0.0,0.004288164665523156,0.0011961722488038277,0.005681818181818182,0.0,0.0028409090909090906,0.0,0.00909090909090909,0.0033766233766233766,0.0,0.0,0.0,0.0,0.0,0,3
1,Friday,12am,0.0,0.006269592476489028,0.009881422924901186,0.012626262626262626,0.00802139037433155,0.0035335689045936395,0.0010449320794148381,0.024475524475524476,0.0,0.007251082251082251,0.0004734848484848485,0.0,0.005574614065180103,0.0,0.003409090909090909,0.0016835016835016836,0.006628787878787879,0.0,0.0,0.00015151515151515152,0.0,0.0,0.0,0.0,0.0,0,4
1,Saturday,12am,0.0,0.02664576802507837,0.02661396574440053,0.017676767676767676,0.025233957219251337,0.018069386443944745,0.002516544757924068,0.03461538461538461,0.00014730639730639732,0.04956709956709957,0.013731060606060606,0.003615702479338843,0.04086620926243568,0.01415470494417863,0.0278219696969697,0.0016835016835016836,0.01789772727272727,0.0,0.03636363636363636,0.019112554112554112,0.0,0.006493506493506494,0.0,0.0,0.0,0,5
1,Sunday,12am,0.010353535353535353,0.018808777429467082,0.022727272727272728,0.020202020202020204,0.01229946524064171,0.018240710996894744,0.004902473005921282,0.02913752913752914,0.0,0.03598484848484849,0.011900252525252524,0.00971935261707989,0.02850200114351058,0.011961722488038277,0.03270833333333333,0.005415263748597082,0.018797348484848486,0.0,0.021515151515151515,0.025151515151515154,0.001928374655647383,0.0,0.005050505050505051,0.0,0.0,0,6
1,Monday,1am,0.0,0.034482758620689655,0.051759834368530024,0.029100529100529102,0.0469187675070028,0.05204442200908632,0.009852216748768473,0.07926332926332927,0.0,0.08163265306122448,0.019345238095238096,0.00974025974025974,0.07187780772686432,0.016290726817042606,0.07976190476190477,0.001763668430335097,0.016865079365079364,0.0,0.05714285714285714,0.021768707482993196,0.0,0.0,0.010582010582010581,0.0,0.0,1,0
1,Tuesday,1am,0.0,0.001567398119122257,0.003952569169960474,0.0,0.0006684491978609626,0.0017667844522968198,0.0,0.004662004662004662,0.0,0.004599567099567099,0.0004734848484848485,0.0,0.0008576329331046312,0.0,0.0022727272727272726,0.0,0.0,0.0,0.0,0.0012987012987012987,0.0,0.0,0.0,0.0,0.0,1,1
1,Wednesday,1am,0.0,0.003134796238244514,0.008893280632411068,0.0,0.007352941176470588,0.0008030838419530999,0.0005224660397074191,0.0011655011655011655,0.0,0.016233766233766232,0.0,0.0,0.0017152658662092624,0.0011961722488038277,0.0011363636363636363,0.0,0.000946969696969697,0.0,0.0,0.0012987012987012987,0.0,0.0,0.0,0.0,0.0,1,2
1,Thursday,1am,0.0,0.003134796238244514,0.004940711462450593,0.0025252525252525255,0.0064282531194295904,0.004176035978156119,0.0010449320794148381,0.005128205128205128,0.0,0.016233766233766232,0.000946969696969697,0.0,0.004288164665523156,0.0011961722488038277,0.005681818181818182,0.0,0.0028409090909090906,0.0,0.00909090909090909,0.0025974025974025974,0.0,0.0,0.0,0.0,0.0,1,3
1,Friday,1am,0.0,0.006269592476489028,0.009881422924901186,0.012626262626262626,0.00802139037433155,0.0035335689045936395,0.0005747126436781609,0.024475524475524476,0.0,0.00974025974025974,0.0004734848484848485,0.0,0.006003430531732418,0.0,0.003409090909090909,0.0016835016835016836,0.006628787878787879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4
1,Saturday,1am,0.0,0.02664576802507837,0.026679841897233204,0.017676767676767676,0.02635918003565062,0.01794089302923225,0.002612330198537095,0.036888111888111884,0.0,0.046320346320346324,0.013731060606060606,0.003615702479338843,0.040337335620354485,0.014354066985645932,0.02840909090909091,0.0016835016835016836,0.017660984848484846,0.0,0.03015151515151515,0.01818181818181818,0.0,0.006493506493506494,0.0,0.0,0.0,1,5
